experiment,displacement_cm,release,start_time_s,end_time_s,quality_score,selected,period_s,frequency_peaks_hz,frequency_fft_hz,logarithmic_decrement,damping_ratio,number_of_peaks,sample_rate_hz
E01_10mm,1.0,1,0.0,11.990137695313052,94.8088118641861,False,0.13821484375000637,7.235112907328045,7.2455231417270785,0.024957167570613323,0.003972025250774504,86,57.88090325862436
E01_10mm,1.0,2,0.0,11.990137695313049,94.72400310713188,False,0.13821484375000637,7.235112907328045,7.2455231417270785,0.022671085216578506,0.0036081917896356847,86,57.88090325862436
E01_10mm,1.0,3,0.0,11.990137695313052,95.194591342426,True,0.13821484375000637,7.235112907328045,7.2455231417270785,0.024163372945757773,0.0038456918081425013,86,57.88090325862436
E02_15mm,1.5,1,0.0,11.989968261711237,95.63661243700233,True,0.1382128906249136,7.23521514873624,7.2456255302452135,0.026572222446233768,0.004229062732414806,87,57.88172118988992
E02_15mm,1.5,2,0.0,11.98996826171123,95.1705109516905,False,0.1382128906249136,7.23521514873624,7.2456255302452135,0.025578366194849468,0.004070889684023043,86,57.88172118988992
E02_15mm,1.5,3,0.0,11.989968261711233,94.3997186794802,False,0.1382128906249136,7.23521514873624,7.2456255302452135,0.025193268894030722,0.004009601045761019,86,57.88172118988992
E03_20mm,2.0,1,0.0,11.989968261716186,96.37921697571555,False,0.13821289062497044,7.235215148733265,7.245625530242234,0.018946931655097237,0.003015484119123154,86,57.88172118986612
E03_20mm,2.0,2,0.0,11.98996826171619,96.50452688904453,False,0.13821289062497044,7.235215148733265,7.245625530242234,0.018647099269978533,0.002967764953569955,86,57.88172118986612
E03_20mm,2.0,3,0.0,11.989968261716179,96.84853212503637,True,0.13821289062497044,7.235215148733265,7.245625530242234,0.01602558066730113,0.0025505420831024466,86,57.88172118986612
E04_25mm,2.5,1,0.0,11.989968261716186,96.20076220662403,True,0.13821289062497044,7.235215148733265,7.245625530242234,0.021861582946750998,0.0034793579291631355,86,57.88172118986612
E04_25mm,2.5,2,0.0,11.989968261716186,94.61600007451388,False,0.13821289062497044,7.235215148733265,7.245625530242234,0.02312984588828207,0.003681204363331375,85,57.88172118986612
E04_25mm,2.5,3,0.0,11.989968261716186,95.61099691572902,False,0.13821289062497044,7.235215148733265,7.245625530242234,0.02526050763812185,0.004020302165494597,86,57.88172118986612
E05_30mm,3.0,1,0.0,11.990307128900056,95.10756551584926,True,0.1382167968749286,7.235010668818298,7.245420756111562,0.028299551914894125,0.004503967890715079,85,57.88008535054638
E05_30mm,3.0,2,0.0,11.990307128900056,95.01232742061116,False,0.1382167968749286,7.235010668818298,7.245420756111562,0.02759463828016588,0.004391780730750531,85,57.88008535054638
E05_30mm,3.0,3,0.0,11.990307128900056,94.01445402025733,False,0.1382167968749286,7.235010668818298,7.245420756111562,0.027929648295485957,0.004445097669288669,85,57.88008535054638
